Category,Genres,Reviews,Size,Installs,Type,Price,Content Rating,Rating
0,9,159,19,10000,0,0,1,4.1
0,11,967,14,500000,0,0,1,3.9
0,9,87510,8.7,5000000,0,0,1,4.7
0,9,215644,25,50000000,0,0,4,4.5
0,10,967,2.8,100000,0,0,1,4.3
0,9,167,5.6,50000,0,0,1,4.4
0,9,178,19,50000,0,0,1,3.8
0,9,36815,29,1000000,0,0,1,4.1
0,9,13791,33,1000000,0,0,1,4.4
0,10,121,3.1,10000,0,0,1,4.7
0,9,13880,28,1000000,0,0,1,4.4
0,9,8788,12,1000000,0,0,1,4.4
0,9,44829,20,10000000,0,0,4,4.2
0,9,4326,21,100000,0,0,1,4.6
0,9,1518,37,100000,0,0,1,4.4
0,9,55,2.7,5000,0,0,1,3.2
0,9,3632,5.5,500000,0,0,1,4.7
0,9,27,17,10000,0,0,1,4.5
0,9,194216,39,5000000,0,0,1,4.3
0,9,224399,31,10000000,0,0,1,4.6
0,9,450,14,100000,0,0,1,4
0,9,654,12,100000,0,0,1,4.1
0,9,7699,4.2,500000,0,0,2,4.7
0,9,118,23,50000,0,0,1,4.7
0,9,192,6,10000,0,0,1,4.8
0,10,20260,25,500000,0,0,1,4.7
0,9,203,6.1,100000,0,0,1,4.1
0,9,136,4.6,10000,0,0,1,3.9
0,9,223,4.2,100000,0,0,1,4.1
0,9,1120,9.2,100000,0,0,1,4.2
0,9,227,5.2,50000,0,0,1,4.1
0,9,5035,11,100000,0,0,1,4.5
0,9,1015,11,100000,0,0,1,4.2
0,9,353,4.2,10000,0,0,4,4.7
0,9,564,9.2,100000,0,0,1,3.8
0,10,8145,24,500000,0,0,1,4.7
0,9,158,11,10000,0,0,1,4.7
0,9,591,9.4,500000,0,0,1,4
0,9,117,15,10000,0,0,1,4.2
0,9,176,10,100000,0,0,1,4.5
0,10,2206,1.2,100000,0,0,1,3.8
0,9,26,12,10000,0,0,1,4.2
0,9,174531,24,10000000,0,0,1,4.7
0,9,1070,26,100000,0,0,1,4.6
0,9,85,8,100000,0,0,1,4.2
0,9,845,7.9,100000,0,0,1,4.3
1,12,367,25,100000,0,0,1,4.2
1,12,1598,56,1000000,0,0,1,4
1,12,284,57,100000,0,0,1,3.8
1,12,129,35,100000,0,0,1,3.9
1,12,542,33,100000,0,0,1,4.3
1,12,10479,33,100000,0,0,1,4.9
1,12,805,5.6,50000,0,0,1,4.4
1,12,129,54,100000,0,0,1,4.2
1,12,1403,0.201,100000,0,0,1,4
1,12,3971,3.6,100000,0,0,1,3.9
1,12,534,5.7,10000,0,0,1,4.6
1,12,7774,17,100000,0,0,1,4.9
1,12,38846,8.6,1000000,0,0,1,4.3
1,12,2431,2.4,100000,0,0,1,4.6
1,12,6090,27,100000,0,0,1,4.9
1,12,295,2.7,10000,0,0,1,3.9
1,12,190,2.5,50000,0,0,1,4
1,12,52530,7,5000000,0,0,1,4.2
1,12,116986,35,5000000,0,0,1,4.8
1,12,1379,16,500000,0,0,1,3.6
1,12,271920,16,10000000,0,0,4,4.2
1,12,7021,17,500000,0,0,1,4.8
1,12,197,3.4,50000,0,0,1,4.6
1,12,737,8.9,100000,0,0,1,4.5
1,12,3574,3.9,1000000,0,0,2,4.3
1,12,994,2.9,100000,0,0,1,4.5
1,12,197136,38,1000000,0,0,1,4.9
1,12,142,32,50000,0,0,1,3.9
1,12,15168,37,1000000,0,0,1,4.4
1,12,2155,15,500000,0,0,1,4
1,12,138,5.4,100000,0,0,1,4.3
1,12,5414,18,1000000,0,0,1,3.7
1,12,348,38,100000,0,0,1,4.3
